transaction_id,customer_id,date,product_id,quantity,price,promotion_id
5000,1,2023-11-20 14:52:00,1042,1,2.87,0
5001,2,2023-02-24 10:48:00,1019,3,5.71,11
5002,12,2023-02-08 14:16:00,1009,2,2.25,11
5003,88,2023-01-11 17:40:00,1044,5,3.86,14
5004,32,2023-01-28 17:38:00,1041,2,4.45,2
5005,79,2023-11-01 14:47:00,1010,4,5.12,0
5006,76,2023-10-17 16:46:00,1091,2,2.83,1
5007,97,2023-02-03 12:04:00,1033,3,4.5,11
5008,56,2023-10-24 13:03:00,1090,4,1.81,5
5009,96,2023-03-24 17:49:00,1050,1,4.0,0
5010,47,2023-03-24 15:42:00,1031,2,2.27,12
5011,66,2023-07-01 14:34:00,1012,3,3.02,0
5012,17,2023-07-21 09:22:00,1088,5,5.67,4
5013,43,2023-09-17 09:59:00,1049,1,2.74,0
5014,28,2023-06-08 09:15:00,1041,5,2.29,13
5015,47,2023-05-19 11:48:00,1048,1,5.51,0
5016,43,2023-08-07 16:39:00,1007,1,2.78,14
5017,72,2023-01-06 13:20:00,1053,4,4.19,6
5018,84,2023-09-22 10:18:00,1014,2,2.27,0
5019,81,2023-01-13 11:20:00,1042,1,3.23,0
5020,43,2023-06-21 10:28:00,1050,5,1.72,0
5021,40,2023-05-10 09:05:00,1037,1,3.86,0
5022,32,2023-04-29 10:28:00,1042,4,4.99,0
5023,88,2023-01-01 13:00:00,1028,3,3.04,0
5024,26,2023-08-15 12:20:00,1004,4,2.68,2
5025,21,2023-10-29 09:42:00,1003,2,5.21,5
5026,47,2023-06-28 10:09:00,1043,5,3.97,14
5027,47,2023-03-07 13:18:00,1075,5,4.84,2
5028,74,2023-02-02 15:57:00,1068,4,5.04,2
5029,37,2023-04-02 13:12:00,1078,1,4.42,0
5030,53,2023-11-05 17:24:00,1033,2,2.41,5
5031,93,2023-08-14 17:33:00,1031,4,5.54,4
5032,93,2023-10-25 17:00:00,1099,3,3.79,0
5033,73,2023-02-23 09:56:00,1093,5,3.03,0
5034,71,2023-08-16 12:34:00,1027,4,3.89,0
5035,54,2023-05-23 09:12:00,1060,3,4.64,0
5036,95,2023-03-03 12:12:00,1068,2,4.42,0
5037,86,2023-04-22 15:35:00,1071,4,4.65,13
